Age,Gender,Parental_Edu,Income,Prev_Grade,Attendance,Study_Hrs,Motivation,Stress,Social_Media,Sleep,Final_Grade,ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
22,M,Bachelor's,Medium,94,0.94,3.7,High,Medium,2.7,8,A,0,female,group B,bachelor's degree,standard,none,72,72,74
19,F,PhD,Low,98,0.9,4.0,Medium,High,2.3,6,A,1,female,group C,some college,standard,completed,69,90,88
23,M,Master's,High,55,0.8,4.6,Medium,Low,2.2,8,A,2,female,group B,master's degree,standard,none,90,95,93
20,F,High School,Low,54,0.87,2.6,High,High,3.3,6,B,3,male,group A,associate's degree,free/reduced,none,47,57,44
22,M,High School,High,56,0.86,4.5,Low,Low,1.3,4,B,4,male,group C,some college,standard,none,76,78,75
18,M,Master's,Low,82,0.97,3.6,High,Medium,2.2,8,A,5,female,group B,associate's degree,standard,none,71,83,78
22,F,Bachelor's,Low,62,0.84,4.4,Medium,High,4.4,5,B,6,female,group B,some college,standard,completed,88,95,92
23,F,Master's,High,50,0.79,5.2,Low,High,3.8,6,B,7,male,group B,some college,free/reduced,none,40,43,39
20,F,High School,Medium,62,0.82,1.9,Low,Low,0.8,5,C,8,male,group D,high school,free/reduced,completed,64,64,67
19,M,Master's,Medium,92,0.8,4.1,Medium,High,2.8,6,A,9,female,group B,high school,free/reduced,none,38,60,50
23,F,Bachelor's,Medium,76,0.79,1.3,Low,Medium,0.9,5,B,10,male,group C,associate's degree,standard,none,58,54,52
23,M,High School,Low,56,0.94,1.5,Low,High,4.8,4,D,11,male,group D,associate's degree,standard,none,40,52,43
18,F,Bachelor's,Low,52,0.96,4.4,High,Low,1.6,4,B,12,female,group B,high school,standard,none,65,81,73
21,F,Master's,Medium,74,0.8,1.4,High,High,4.7,7,B,13,male,group A,some college,standard,completed,78,72,70
20,F,PhD,Low,82,0.96,4.0,Medium,Medium,4.3,7,A,14,female,group A,master's degree,standard,none,50,53,58
17,F,Master's,Low,89,0.91,2.1,Medium,Low,3.0,7,A,15,female,group C,some high school,standard,none,69,75,78
23,F,Bachelor's,Medium,66,0.8,2.5,Medium,Low,2.0,8,A,16,male,group C,high school,standard,none,88,89,86
21,F,Master's,High,94,0.91,1.6,Low,Medium,4.4,6,A,17,female,group B,some high school,free/reduced,none,18,32,28
17,M,PhD,Low,63,0.79,2.2,Medium,Low,1.2,8,B,18,male,group C,master's degree,free/reduced,completed,46,42,46
